ID,Groups,Description,Baseline [02-10 10:12]
,TomAnalyzer > core kernel analysis json,should contain all analyzer elements from core kernel,X/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates bit flag constants,X/OK
,ReflectionGenerator - Performance Tests > analysis performance,analyzes small fixture in reasonable time,X/OK
,TomAnalyzer > self analysis json,should contain all analyzer elements from the package,X/OK
,ReflectionGenerator - Code Generation Integration > generator state management,generator resets state between calls,OK/OK
,,LibraryInfo aggregates type declarations,OK/OK
,,FieldInfo can be instance member,OK/OK
,,ImportInfo and ExportInfo track libraries,OK/OK
,,SourceLocation holds offsets,OK/OK
,,AnnotationInfo captures arguments,OK/OK
,,ArgumentValue stringifies null,OK/OK
,,TypeParameterInfo stores variance,OK/OK
,,ParameterInfo tracks required flags,OK/OK
,,sealed element switch is exhaustive,OK/OK
,,ElementNotFoundException formats message,OK/OK
,,AmbiguousElementException formats candidates,OK/OK
,,analysis result navigates object graph,OK/OK
,,ClassInfo exposes static members,OK/OK
,,EnumInfo contains values,OK/OK
,,ExtensionInfo captures extended type,OK/OK
,,query APIs find elements,OK/OK
,,getClassOrThrow throws not found,OK/OK
,,getClassOrThrow throws on ambiguous,OK/OK
,,generic findElementsWithAnnotation finds classes,OK/OK
,,type declarations extend base hierarchy,OK/OK
,,executables extend executable element,OK/OK
,,variables extend variable element,OK/OK
,,container elements extend base element,OK/OK
,,TypeReference resolves as class,OK/OK
,,TypeReference matchResolved selects branch,OK/OK
,,TypeReference unresolved branch returns default,OK/OK
,,creates analyzer instance,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates valid Dart code structure,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates runtime import,OK/OK
,,ConstructorInfo uses declaring type library,OK/OK
,GlobMatcher,matches exact string,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates initialization function,OK/OK
,GlobMatcher,matches with * wildcard,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates reflectionApi variable,OK/OK
,GlobMatcher,matches with ** wildcard,OK/OK
,ReflectionGenerator - Code Generation Integration > generateFromResult with empty result,generates reflection data structure,OK/OK
,GlobMatcher,matches with ? wildcard,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has proper Dart syntax markers,OK/OK
,GlobMatcher,matches dart SDK packages,OK/OK
,GlobMatcher,escapes regex special characters,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has balanced braces,OK/OK
,GlobMatcher,handles prefix wildcards,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has balanced parentheses,OK/OK
,AnnotationPattern,parses short name,OK/OK
,ReflectionGenerator - Code Generation Integration > code structure validation,generated code has balanced brackets,OK/OK
,AnnotationPattern,parses qualified name with package URI,OK/OK
,ReflectionGenerator - Code Generation Integration > invokers array generation,empty result generates empty invokers,OK/OK
,AnnotationPattern,parses short name with hash,OK/OK
,ReflectionGenerator - Code Generation Integration > package structure generation,empty result generates minimal package structure,OK/OK
,AnnotationPattern,parses annotation with field matchers,OK/OK
,AnnotationPattern,parses @ prefix annotation,OK/OK
,,FunctionInfo is static by default,OK/OK
,FilterMatcher > matchesPackage,matches exact package,OK/OK
,FilterMatcher > matchesPackage,matches wildcard packages,OK/OK
,ReflectionGenerator - Code Generation Integration > generator state management,generator can be reused,OK/OK
,ReflectionGenerator - Code Generation Integration > output configuration,getOutputPath returns configured output,OK/OK
,FilterMatcher > matchesPackage,returns false when no packages specified,OK/OK
,ReflectionGenerator - Code Generation Integration > output configuration,getOutputPath returns default when not configured,OK/OK
,FilterMatcher > matchesPath,matches glob patterns,OK/OK
,ReflectionGenerator - Code Generation Integration > import generation,runtime import uses correct alias,OK/OK
,FilterMatcher > matchesTypeName,matches type patterns,OK/OK
,ReflectionGenerator - Code Generation Integration > declarations section,empty result has declarations structure,OK/OK
,FilterMatcher > matchesElement,matches exact element identifiers,OK/OK
,FilterMatcher > hasSelectors,returns false when no selectors,OK/OK
,FilterMatcher > hasSelectors,returns true when has packages,OK/OK
,FilterMatcher > hasSelectors,returns true when has annotations,OK/OK
,FilterMatcher > isInclude,reflects filter type,OK/OK
,DefaultsMatcher,detects excluded packages,OK/OK
,DefaultsMatcher,detects included packages,OK/OK
,InclusionResolver,creates from config,OK/OK
,InclusionResolver,defaults matcher is accessible,OK/OK
,InclusionResolver,filters are ordered,OK/OK
,ReflectionConfig > fromMap,parses minimal configuration,OK/OK
,ReflectionConfig > fromMap,parses complete configuration,OK/OK
,ReflectionConfig > fromMap,handles empty configuration,OK/OK
